Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,Exclusivity Protected Indication *,Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
Ursodiol,URSO 250,6/20/91,Treatment of patients with primary biliary cirrhosis,Designated/Approved,,, 12/10/1997 , 12/10/2004 ,,"Aptalis Pharma US, Inc.",100 Somerset corporate Blvd,,Bridgewater,New Jersey,8807,United States,22187
Ursodiol,,2/19/91,Management of the clinical signs and symptoms associated with primary biliary cirrhosis.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Novartis Pharmaceuticals Corporation,59 Route 10,,East Hanover,New Jersey,7936,United States,55390
ursodiol,,10/23/07,Treatment of cystic fibrosis liver disease,Designated,Not FDA Approved for Orphan Indication,,,,,"Asklepion Pharmaceuticals, LLC",5200 Maryland Way,,Brentwood,Tennessee,37027,United States,242607
ustekinumab,,2/22/17,Treatment of pediatric ulcerative colitis,Designated,Not FDA Approved for Orphan Indication,,,,,"Janssen Biotech, Inc.",1400 McKean Road,,Spring House,Pennsylvania,19477,United States,537516
ustekinumab,,5/18/16,Treatment of pediatric Crohn's disease (0 through 16 years of age),Designated,Not FDA Approved for Orphan Indication,,,,,"Janssen Research & Development, LLC",1400 McKean Road,P.O. Box 776,Spring House,Pennsylvania,19477,United States,520916
ustekinumab,,12/28/11,Treatment of chronic sarcoidosis,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Janssen Biotech, Inc.",800 & 850 Ridgeview Drive,,Horsham,Pennsylvania,19044,United States,358111
ustekinumab,,7/18/17,Treatment of pediatric systemic lupus erythematosus,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Janssen Biotech, Inc.",800 & 850 Ridgeview Drive,,Horsham,Pennsylvania,19044,United States,586217
ustekinumab,,11/29/10,Treatment of type 1 diabetes mellitus patients with residual beta-cell function.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Johnson & Johnson Pharmaceutical & Development LLC,902 Route 202 South,Room 1654,Raritan,New Jersey,8869,United States,314510
ustekinumab; human monocloncal antibody to interkeukin 12p40,,12/22/11,Treatment of primary biliary cirrhosis,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Janssen Biotech, Inc.",200 Great Valley Parkway,,Malvern,Pennsylvania,19355,United States,343811
uttroside B,,1/19/21,Treatment of hepatocellular carcinoma,Designated,Not FDA Approved for Orphan Indication,,,,,Q BioMed,366 Madison Ave,,New York,New York,10017,United States,795820
Vaccinia Immune Globulin (Human) Intravenous,,6/18/04,Treatment of severe complications from the smallpox vaccine,Designated/Approved,,"Treatment and modification of aberrant infections induced by vaccinia virus that include its accidental implantation in eyes (except in cases of isolated keratitis), mouth, or other areas where vaccinia infection would constitute a special hazard; eczema vaccinatum; progressive vaccinia; severe generalized vaccinia, and vaccinia infections in individuals who have skin conditions such as burns, impetigo, varicella-zoster, or poison ivy; or in individuals who have eczematous skin lesions because o", 02/18/2005 , 02/18/2012 ,,DynPort Vaccine Company LLC,64 Thomas Johnson Drive,,Frederick,Maryland,21702,United States,184204
Vaccinia Immune Globulin (Human) Intravenous,CNJ-016,6/18/04,Treatment of complications of vaccinia vaccination,Designated/Approved,,"treatment and/or modification of the following conditions, which are complications resulting from smallpox vaccination: Eczema vaccinatum Progressive vaccinia Severe generalized vaccinia Vaccinia infections in individuals who have skin conditions such as burns, impetigo, varicella-zoster, or poison ivy; or in individuals who have eczematous skin lesions because of either the activity or extensiveness of such lesions Aberrant infections induced by vaccinia virus that include its accidental implan", 05/02/2005 ,  ,,Cangene Corporation,104 Chancellor Matheson Road,,Winnipeg,,,Canada,179303
Vactosertib,,9/28/20,Treatment of gastric cancer,Designated,Not FDA Approved for Orphan Indication,,,,,"MedPacto, Inc",145 Gwanggyo-ro,"Advanced Institutes of Convergence Technology, Building C, Room 506",Suwon,Gyeonggi-do,16229,Republic of Korea,767320
vactosertib,,8/27/21,Treatment of osteosarcoma,Designated,Not FDA Approved for Orphan Indication,,,,,"MedPacto, Inc.",92 Myeongdal-ro Seocho-Gu,,Seoul,Republic of Korea,6668,South Korea,834121
Vactosertib,,7/20/21,Treatment of Pancreatic Cancer,Designated,Not FDA Approved for Orphan Indication,,,,,"MedPacto, Inc.","92 Myeongdal-ro, Seocho-Gu",,Seoul,,6668,South Korea,827321
vadastuximab talirine,,11/10/15,Treatment of acute myeloid leukemia.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Seattle Genetics, Inc.",21823 30th Drive Southeast,,Bothell,Washington,98021,United States,494515
valbenazine,,10/19/17,Treatment of pediatric patients with Tourette syndrome (TS).,Designated,Not FDA Approved for Orphan Indication,,,,,"Neurocrine Biosciences, Inc.",12780 El Camino Real,,San Diego,California,92130,United States,608317
Valemetostat tosylate,,12/1/21,Treatment of Peripheral T-cell lymphoma (PTCL),Designated,Not FDA Approved for Orphan Indication,,,,,"Daiichi Sankyo, Inc.",211 Mount Airy Road,,Basking Ridge,New Jersey,07920-2311,United States,850021
"Valine, isoleucine and leucine",,1/5/96,Treatment of hyperphenylalaninemia,Designated,Not FDA Approved for Orphan Indication,,,,,Leas Research Products,78 Fallon Drive,,North Haven,Connecticut,6473,United States,93095
valine-valine-ganciclovir,,5/21/07,Treatment of primary keratoconjunctivitis and recurrent epithelial keratitis due to HSV1 and HSV2.,Designated,Not FDA Approved for Orphan Indication,,,,,"Verenta Pharmaceuticals, Inc.",10901 Granada Lane,Suite 101,Leawood,Kansas,66211,United States,239007
Valproate,,5/5/08,Treatment of fragile X syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,"Neuropharm Ltd,",Fetcham Park House,,Surrey,,,United Kingdom,256908
Valproic acid,,3/30/17,Treatment of diffuse large B-cell lymphoma,Designated,Not FDA Approved for Orphan Indication,,,,,Valcuria AB,Scheelev䧥n 2,,Lund,Sk宥 l䮍,,Sweden,563116
"Valproic acid, sodium",,6/24/05,Treatment of familial adenomatous polyposis,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Topotarget A/S,Fruebjergvej 3,DK-2100,Copenhagen,,,Denmark,200705
Valrubicin,Valstar,5/23/94,Treatment of carcinoma in situ of the urinary bladder.,Designated/Approved,,For intravesical therapy of BCG-refractory carcinoma in situ of the urinary bladder in patients for whom immediate cystectomy would be associated with unacceptable morbidity or mortality., 09/25/1998 , 09/25/2005 ,,"Anthra Pharmaceuticals, Inc.","103 Carnegie Center, Suite 102",,Princeton,New Jersey,8540,United States,82194
valsartan oral solution,,10/28/15,Treatment of hypertension in pediatric patients 0 through 16 years of age,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Carmel Biosciences,5673 Peachtree Dunwoody Road,Suite 440,Atlanta,Georgia,30342,United States,494115
vamorolone,,12/2/11,Treatment of Duchenne muscular dystrophy,Designated,Not FDA Approved for Orphan Indication,,,,,ReveraGen Biopharma,"155 Gibbs Road, Suite 433",,Rockville,Maryland,20850,United States,343111
vancomycin,,12/27/12,Treatment of endophthalmitis,Designated,Not FDA Approved for Orphan Indication,,,,,"Fera Pharmaceuticals, LLC",134 Birch Hill Road,,Locust Valley,New York,11560,United States,361211
Vancomycin HCL and Tobramycin sulfate multi-pack component of the Joint Purification Systems X7 Spacer,,1/9/17,Treatment of periprosthetic joint infection,Designated,Not FDA Approved for Orphan Indication,,,,,Joint Purification Systems LLC,c/o Cor Medical Ventures LLC,215 S. Highway 101,Solana Beach,California,92075,United States,536416
vancomycin hydrochloride (inhalational),,9/20/12,Treatment of persistent methicillin-resistant S. aureus lung infection in patients with cystic fibrosis,Designated,Not FDA Approved for Orphan Indication,,,,,"Savara Pharmaceuticals, Inc.",5900 Shepherd Mountasin Cove,Suite 2-205,Austin,Texas,78730,United States,374212
vandetanib,CAPRELSA(r),10/21/05,"Treatment of patients with follicular thyroid carcinoma, medullary thyroid carcinoma, anaplastic thyroid carcinoma, and locally advanced and metastatic papillary thyroid carcinoma",Designated/Approved,,Treatment of asymptomatic or progressive medullary thyroid cancer in patients with unresectable locally advanced or metastatic disease, 04/06/2011 , 04/06/2018 ,,Genzyme Corporation,500 Kendall Street,,Cambridge,Massachusetts,2142,United States,211005
Vapreotide,,4/6/04,Treatment of symptomatic carcinoid tumors,Designated,Not FDA Approved for Orphan Indication,,,,,"H3 Pharma, Inc.",666 Sherbrooke Street West,Suite 1400,Montreal,,,Canada,175403
vapreotide,,1/10/00,Treatment of gastrointestinal and pancreatic fistulas.,Designated,Not FDA Approved for Orphan Indication,,,,,Debiopharm S.A.,17 rue des Terreaux,,Lausanne,,,Switzerland,129599
vapreotide,,3/6/00,Prevention of early postoperative complications following pancreatic resection.,Designated,Not FDA Approved for Orphan Indication,,,,,Debiopharm S.A.,17 rue des Terreaux,,Lausanne,,,Switzerland,129699
vapreotide,,1/10/00,Treatment of esophageal variceal hemorrhage patients with portal hypertension.,Designated,Not FDA Approved for Orphan Indication,,,,,"Debiovision, Inc.",666 Sherbrooke Street West,Suite 1400,Montreal,,,Canada,129899
vapreotide,,11/4/03,Treatment of acromegaly,Designated,Not FDA Approved for Orphan Indication,,,,,"H3 Pharma, Inc.","666 Sherbrooke Street West,",Suite 1400,Montreal,,,Canada,175203
Varbulin,,11/5/09,Treatment of glioblastoma multiforme.,Designated,Not FDA Approved for Orphan Indication,,,,,"Myrexis, Inc.",305 Chipeta Way,,Salt Lake City,Utah,84108,United States,290809
vardenafil,,4/22/19,Treatment of Pulmonary Arterial Hypertension,Designated,Not FDA Approved for Orphan Indication,,,,,"Respira Therapeutics, Inc",5901 Indian School Road NE,#107,Albuquerque,New Mexico,87110,United States,679319
Varespladib,,3/25/19,Treatment of snakebite,Designated,Not FDA Approved for Orphan Indication,,,,,"Ophirex, Inc.",5643 Paradise Dr #2,,Corte Madera,California,94925,United States,677919
varespladib sodium,,11/19/07,Prevention of acute chest syndrome in at-risk patients with sickle cell disease,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Anthera Pharmaceuticals, Inc.",25801 Industrial Blvd.,Suite B,Hayward,California,94545,United States,240107
Varicella Zoster Immune Globulin (Human),VARIZIG,11/7/06,"Passive immunization for the treatment of exposed, susceptible individuals who are at risk of complications from varicella",Designated/Approved,,Post exposure prophylaxis of varicella in high risk individuals to reduce the severity of varicella, 12/20/2012 , 12/20/2019 ,,"Cangene bioPharma, Inc.",155 Innovation Drive,,Winnipeg,,,Canada,228006
varlitinib,,6/20/16,Treatment of gastric cancer.,Designated,Not FDA Approved for Orphan Indication,,,,,ASLAN Pharmaceuticals,10A Bukit Pasoh Road,,,,,Singapore,524216
varlitinib,,8/5/15,treatment of biliary tract cancer,Designated,Not FDA Approved for Orphan Indication,,,,,"ASLAN Pharmaceuticals Pte, Ltd.",83 Clemenceau Avenue,#12-03,Singapore,,,Singapore,485915
vascular endothelial growth factor 165b,,6/24/08,Treatment of advanced melanoma stages IIb through IV.,Designated,Not FDA Approved for Orphan Indication,,,,,"PhiloGene, Inc.",174 Summit Avenue,,Summit,New Jersey,7901,United States,261108
Vasoactive intestinal peptide,,3/9/01,Treatment of Acute Respiratory Distress Syndrome.,Designated,Not FDA Approved for Orphan Indication,,,,,mondoBIOTECH,Europark,FL - 9490 Vaduz,Liechtenstein,,,Switzerland,142001
vasoactive intestinal peptide (VIP)-elastin-like peptide (ELP) fusion protein,,5/13/14,"Treatment of pulmonary arterial hypertension, WHO Group 1",Designated,Not FDA Approved for Orphan Indication,,,,,"PhaseBio Pharmaceuticals, Inc.",1 Great Valley Parkway,Suite 30,Malvern,Pennsylvania,19355,United States,397513
Vasoactive intestinal polypeptide,,6/23/93,Treatment of acute esophageal food impaction.,Designated,Not FDA Approved for Orphan Indication,,,,,Research Triangle Pharmaceuticals,200 Westpark Corporate Center,4364 South Alston Avenue,Durham,North Carolina,27713,United States,72192
Vasomera,,11/19/15,"Treatment of cardiomyopathy associated with dystrophinopathies; Duchenne Muscular Dystrophy (DMD), Becker Muscular Dystrophy BMD), and X-linked dilated cardiomyopathy (XL-dCMP).",Designated,Not FDA Approved for Orphan Indication,,,,,"PhaseBio Pharmaceuticals, Inc.",1 Great Valley Parkway,Suite 30,Malvern,Pennsylvania,19355,United States,492215
vasopressin 1a receptor antagonist,,10/30/19,Treatment of Huntington's disease,Designated,Not FDA Approved for Orphan Indication,,,,,"Azevan Pharmaceuticals, Inc.",116 Research Drive,,Bethlehem,Pennsylvania,18015,United States,532016
vatiquinone,,8/10/20,Treatment of mitochondrial disease,Designated,Not FDA Approved for Orphan Indication,,,,,"PTC Therapeutics, Inc.",100 Corporate Court,,South Plainfield,New Jersey,7080,United States,759620
vatiquinone,,6/4/14,Treatment of Leigh Syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,"PTC Therapeutics, Inc.",100 Corporate Court,,South Plainfield,New Jersey,7080,United States,435014
vatiquinone,,1/31/14,Treatment of Friedreich's ataxia,Designated,Not FDA Approved for Orphan Indication,,,,,"PTC Therapeutics, Inc.",100 Corporate Court,,South Plainfield,New Jersey,7080,United States,418413
vatiquinone,,10/18/17,Treatment of pontocerebellar hypoplasia,Designated,Not FDA Approved for Orphan Indication,,,,,"PTC Therapeutics, Inc.",100 Corporate Court,,South Plainfield,New Jersey,7080,United States,606317
vatiquinone,,11/17/14,Treatment of Rett syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,"PTC Therapeutics, Inc.",100 Corporate Court,,South Plainfield,New Jersey,7080,United States,453014
vedolizumab,,8/4/16,Prevention of graft versus host disease.,Designated,Not FDA Approved for Orphan Indication,,,,,"Takeda Development Center Americas, Inc.",95 Hayden Avenue,,Lexington,Massachusetts,2421,United States,523516
vedolizumab,,3/15/21,Treatment of Pouchitis,Designated,Not FDA Approved for Orphan Indication,,,,,"Takeda Development Center Americas, Inc.",95 Hayden Avenue,,Lexington,Massachusetts,2421,United States,804920
Vedolizumab,,3/21/17,Treatment of graft versus host disease,Designated,Not FDA Approved for Orphan Indication,,,,,"Takeda Development Center Americas, Inc.",95 Hayden Avenue,,Lexington,Massachusetts,2421,United States,558216
velaglucerase-alfa,VPRIV,6/8/09,Treatment of Gaucher disease,Designated/Approved,,Treatment of Type I Gaucher Disease, 02/26/2010 ,  ,,"Takeda Development Center Americas, Inc.",95 Hayden Avenue,,Lexington,Massachusetts,2421,United States,283509
veliparib,,11/3/16,Treatment of squamous non-small cell lung cancer,Designated,Not FDA Approved for Orphan Indication,,,,,AbbVie Inc.,1 North Waukegan Road,,North Chicago,Illinois,60064,United States,542916
veliparib,,9/3/09,Treatment of epithelial ovarian cancer in combination with DNA-damaging agents,Designated,Not FDA Approved for Orphan Indication,,,,,"AbbVie, Inc.",1 N. Waukegan Road,,North Chicago,Illinois,60064,United States,290209
veliparib,,11/20/09,Treatment of hepatocellular carcinoma in combination with DNA-damaging agents,Designated,Not FDA Approved for Orphan Indication,,,,,"AbbVie, Inc.",1 N. Waukegan Road,,North Chicago,Illinois,60064,United States,295509
veliparib,,5/9/08,Treatment of glioblastoma multiforme when used in combination with DNA-damaging agents,Designated,Not FDA Approved for Orphan Indication,,,,,"AbbVie, Inc.",1 N. Waukegan Road,,North Chicago,Illinois,60064,United States,257108
veliparib,,12/17/14,Treatment of brain metastases when used in combination with DNA-damaging agents,Designated,Not FDA Approved for Orphan Indication,,,,,AbbVie Inc.,1 North Waukegan Road,,North Chicago,Illinois,60064,United States,456514
veltuzumab,,11/17/14,Treatment of pemphigus,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Immunomedics, Inc.",300 The American Rd.,,Morris Plains,New Jersey,7950,United States,454714
veltuzumab,,8/28/08,Treatment of chronic lymphocytic leukemia,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Immunomedics, Inc.",300 American Road,,Morris Plains,New Jersey,7950,United States,261308
veltuzumab,,7/28/15,Treatment of immune thrombocytopenic purpura.,Designated,Not FDA Approved for Orphan Indication,,,,,"Immunomedics, Inc.",300 American Road,,Morris Plains,New Jersey,7950,United States,486915
vemurafenib,Zelboraf,8/2/16,Treatment of Erdheim-Chester Disease,Designated/Approved,,Treatment of patients with Erdheim-Chester Disease with BRAF V600 mutation, 11/06/2017 , 11/06/2024 ,Treatment of patients with Erdheim-Chester Disease with BRAF V600 mutation,"Genentech, Inc.",1 DNA Way,,South San Francisco,California,94080,United States,529616
vemurafenib,,9/8/14,Treatment of patients with non-small cell lung cancer (NSCLC) with BRAF V600 mutation,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Genentech, Inc.",1 DNA Way,,South San Francisco,California,94080,United States,444314
vemurafenib,,8/26/14,Treatment of hairy cell leukemia (HCL).,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Genentech, Inc.",1 DNA Way,M/S 241B,South San Francisco,California,94080,United States,444114
vemurafenib,Zelboraf,12/20/10,Treatment of patients with IIb to Stage IV melanoma positive for the BRAF(v600) mutation,Designated/Approved,,Treatment of unresectable or metastatic melanoma with the BRAFV600E mutation as detected by an FDA-approved test., 08/17/2011 , 08/17/2018 ,,"Hoffmann-La Roche, Inc.",340 Kingsland Street,,Nutley,New Jersey,7110,United States,325310
vemurafenib,,11/26/13,Treatment of anaplastic thyroid carcinoma and advanced papillary thyroid cancer whose tumors harbor a BRAF V600 mutation,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Genentech, Inc.",1 DNA Way,M/S 241B,South San Francisco,California,94080,United States,399213
venetoclax,VENCLEXTA,9/20/12,Treatment of chronic lymphocytic leukemia,Designated/Approved,,VENCLEXTA is indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL)., 05/15/2019 , 05/15/2026 ,Treatment of previously untreated adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL),"AbbVie, Inc",1 North Waukegan Road,"Dept. PA72, Bldg. AP30",North Chicago,Illinois,60064,United States,375612
venetoclax,VENCLEXTA,9/20/12,Treatment of chronic lymphocytic leukemia,Designated/Approved,,"Treatment of patients with chronic lymphocytic leukemia (CLL) with 17p deletion, as detected by an FDA approved test, who have received at least one prior therapy", 04/11/2016 , 04/11/2023 ,"Treatment of patients with chronic lymphocytic leukemia (CLL) with 17p deletion, as detected by an FDA approved test, who have received at least one prior therapy","AbbVie, Inc",1 North Waukegan Road,"Dept. PA72, Bldg. AP30",North Chicago,Illinois,60064,United States,375612
Venetoclax,,11/5/20,Treatment for small cell lung cancer,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Genentech, Inc.",1 DNA Way,,South San Francisco,California,94080-4990,United States,780920
venetoclax,VENCLEXTA,2/4/16,Treatment of acute myeloid leukemia.,Designated/Approved,,"VENCLEXTA is indicated in combination with azacitidine, or decitabine, or low-dose cytarabine for the treatment of newly-diagnosed acute myeloid leukemia (AML) in adults who are age 75 years or older, or who have comorbidities that preclude use of intensive induction chemotherapy.", 11/21/2018 , 11/21/2025 ,"VENCLEXTA is indicated in combination with azacitidine, or decitabine, or low-dose cytarabine for the treatment of newly-diagnosed acute myeloid leukemia (AML) in adults who are age 75 years or older, or who have comorbidities that preclude use of intensive induction chemotherapy.",AbbVie Inc.,1 North Waukegan Road,"Dept PA72, Bldg. AP30-4",North Chicago,Illinois,60064,United States,506815
venetoclax,,8/29/16,Treatment of multiple myeloma,Designated,Not FDA Approved for Orphan Indication,,,,,AbbVie Inc.,Regualtory Affairs,1 North Waukegan Road,North Chicago,Illinois,60064,United States,536116
Venetoclax,,10/26/20,Treatment of acute lymphoblastic leukemia,Designated,Not FDA Approved for Orphan Indication,,,,,AbbVie Inc.,1 North Waukegan Road,,North Chicago,Illinois,60064,United States,777520
venetoclax,,8/31/17,Treatment of mantle cell lymphoma,Designated,Not FDA Approved for Orphan Indication,,,,,AbbVie Inc.,1 North Waukegan Road,,North Chicago,Illinois,60064,United States,600117
Venetoclax,,6/12/19,Treatment of myelodysplastic syndromes,Designated,Not FDA Approved for Orphan Indication,,,,,AbbVie Inc.,1 North Waukegan Road,"Dept #PA72, Bldg. AP30-4",North Chicago,Illinois,60064,United States,689119
venetoclax,VENCLEXTA,9/20/12,Treatment of chronic lymphocytic leukemia,Designated/Approved,,"VENCLEXTA (venetoclax) indicated for the treatment of patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL), with or without 17p deletion, who have received at least one prior therapy.", 06/08/2018 , 06/08/2025 ,"For treatment of patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL), without 17p deletion, who have received at least one prior therapy.","AbbVie, Inc",1 North Waukegan Road,"Dept. PA72, Bldg. AP30",North Chicago,Illinois,60064,United States,375612
venetoclax + idasanutlin,,12/17/18,Treatment of acute myeloid leukemia,Designated,Not FDA Approved for Orphan Indication,,,,,Genentech Inc. (A Member of the Roche Group),1 DNA Way,MS# 355d,South San Francisco,California,94080,United States,664118
Venglustat,,8/26/14,Treatment of Fabry's disease,Designated,Not FDA Approved for Orphan Indication,,,,,Genzyme Corporation,500 Kendall Street,,Cambridge,Massachusetts,1242,United States,439814
venglustat,,5/1/18,Treatment of Autosomal Dominant Polycystic Kidney Disease,Designated,Not FDA Approved for Orphan Indication,,,,,"Genzyme Corporation, a SANOFI COMPANY",50 Binney Street,,Cambridge,Massachusetts,2142,United States,637218
venglustat,,9/11/14,Treatment of Gaucher disease,Designated,Not FDA Approved for Orphan Indication,,,,,Genzyme,500 Kendall Street,,Cambridge,Massachusetts,2142,United States,443414
venglustat malate,,8/13/20,Treatment of GM2 gangliosidosis,Designated,Not FDA Approved for Orphan Indication,,,,,"Genzyme Corporation, a SANOFI COMPANY",50 Binney Street,,Cambridge,Massachusetts,2142,United States,755820
verdiperstat,,2/15/19,Treatment of multiple system atrophy (MSA).,Designated,Not FDA Approved for Orphan Indication,,,,,"Biohaven Pharmaceuticals, Inc.",215 Church Street,,New Haven,Connecticut,6510,United States,671418
verteporfin,,3/9/12,Treatment of chronic or recurrent central serous chorioretinopathy,Designated,Not FDA Approved for Orphan Indication,,,,,Valeant Pharmaceuticals North America LLC,700 Route 202/206 North,,Bridgewater,New Jersey,8807,United States,350511
vestronidase alfa-vjbk,Mepsevii,2/16/12,"Treatment of mucopolysaccharidosis VII (MPS VII, Sly Syndrome)",Designated/Approved,,"Indicated in pediatric and adult patients for the treatment of Mucopolysaccharidosis VII (PMS VII, Sly syndrome).", 11/15/2017 , 11/15/2024 ,"Indicated in pediatric and adult patients for the treatment of mucopolysaccharidosis VII (MPS VII, Sly Syndrome).","Ultragenyx Pharmaceutical, Inc.",60 Leveroni Court,,Novato,California,94949,United States,359811
Vibrio alginolyticus collagenase,,10/12/16,Treatment of advanced Dupuytren's disease (Dupuytren's contracture),Designated,Not FDA Approved for Orphan Indication,,,,,Fidia Farmaceutici S.p.A.,"Via Ponte della Fabbrica, 3/A",,Abano Terme PD,,,Italy,539616
vibriolysin,,6/16/06,"Debridement of severe, deep dermal burns in hospitalized patients",Designated,Not FDA Approved for Orphan Indication,,,,,BioMarin Pharmaceutical Inc.,105 Digital Drive,,Novato,California,94949,United States,128599
vigabatrin,Sabril,6/12/00,Treatment of infantile spasms.,Designated/Approved,,For infantile spasms (IS) - 1 month to 2 years of age., 08/21/2009 , 08/21/2016 ,,H. Lundbeck A/S,Four Parkway North,,Deerfield,Illinois,60015,United States,135100
vigabatrin and cosyntropin,,11/1/17,Treatment of infantile spasms,Designated,Not FDA Approved for Orphan Indication,,,,,"West Therapeutic Development, LLC",540 Ziegler Drive,,Grayslake,Illinois,60030,United States,609817
viloxazine HCL,,6/11/84,Treatment of cataplexy and narcolepsy,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Stuart Pharmaceuticals,Division of ICI Americas,,Wilmington,Delaware,19897,United States,2384
viltolarsen,VILTEPSO,1/12/17,Treatment of Duchenne Muscular Dystrophy,Designated/Approved,,VILTEPSO is indicated for the treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon 53 skipping, 08/12/2020 , 08/12/2027 ,VILTEPSO is indicated for the treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon 53 skipping,"NS Pharma, Inc.","140 East Ridgewood Avenue, Suite 280S",,Paramus,New Jersey,7652,United States,565616
vinCRIStine sulfate LIPOSOME injection,Marqibo,1/8/07,Treatment of acute lymphoblastic leukemia,Designated/Approved,,Treatment of adult patients with Philadelphia chromosome-negative (Ph-) acute lymphoblastic leukemia (ALL) in second or greater relapse or whose disease has progressed following two or more anti-leukemia therapies., 08/09/2012 , 08/09/2019 ,,Acrotech Biopharma LLC,279 Princeton Hightstown Road,,East Windsor,New Jersey,8520,United States,234406
vincristine sulfate liposomes,,6/24/08,Treatment of metastatic uveal melanoma.,Designated,Not FDA Approved for Orphan Indication,,,,,Acrotech Biopharma LLC,279 Princeton Hightstown Road,,East Windsor,New Jersey,8520,United States,259108
vintafolide,,12/16/13,Treatment of ovarian cancer,Designated,Not FDA Approved for Orphan Indication,,,,,"Endocyte, Inc.",3000 Kent Avenue,Suite A1-100,West Lafayette,Indiana,47906,United States,415513
Virulizin,,2/1/01,Treatment of pancreatic cancer.,Designated,Not FDA Approved for Orphan Indication,,,,,"ZOR Pharmaceuticals, LLC",100-A Eastwood Center Drive,Suite 118,Wilmington,North Carolina,28403,United States,139600
vitamin A palmitate,,7/14/15,Prevention of bronchopulmonary dysplasia.,Designated,Not FDA Approved for Orphan Indication,,,,,"Advent Therapeutics, Inc.",6500 Old Carversville Road,,Lumberville,Pennsylvania,18933,United States,483315
vixotrigine,,7/24/13,Treatment of trigeminal neuralgia,Designated,Not FDA Approved for Orphan Indication,,,,,"Biogen, Inc.",300 Binney Street,,Cambridge,Massachusetts,2142,United States,401613
VLA-4 and LFA-1 integrin activator,,11/8/17,Treatment of malignant melanoma stages IIB to IV,Designated,Not FDA Approved for Orphan Indication,,,,,"7 Hills Pharma, LLC",8285 El Rio Street,Suite 130,Houston,Texas,77054,United States,611917
vocimagene amiretrorepvec and flucytosine,,1/12/11,Treatment of malignant glioma in addition to glioblastoma multiforme,Designated,Not FDA Approved for Orphan Indication,,,,,"Tocagen, Inc.",4242 Campus Point Court,Suite 500,San Diego,California,92121,United States,327910
"volanesorsen sodium, apolipotrotein C-III antisense oligonucleotide",,6/23/15,treatment of familial chylomicronemia syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,"Akcea Therapeutics, Inc.",22 Boston Wharf Road,9th Floor,Boston,Massachusetts,2210,United States,480815
Volasertib,,10/8/20,treatment of soft tissue sarcoma,Designated,Not FDA Approved for Orphan Indication,,,,,Oncoheroes Biosciences Inc.,"43 Kent Street, #1",,Brookline,Massachusetts,2445,United States,771420
volasertib,,4/14/14,Treatment of acute myeloid leukemia,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Boehringer Ingelheim Pharmaceuticals, Inc.",900 Ridgebury Road,P. O. Box 368,Ridgefield,Connecticut,6877,United States,415913
von Willebrand Factor Human Concentrate,,5/29/14,Treatment of Von Willebrand Disease,Designated,Not FDA Approved for Orphan Indication,,,,,"rEVO Biologics, Inc.",175 Crossing Blvd,,Framingham,Massachusetts,1702,United States,424814
vonapanitase,,4/3/09,Prevention of arteriovenous fistula and arteriovenous graft failure in patients with chronic kidney disease (CKD) who are receiving hemodialysis or preparing for hemodialysis,Designated,Not FDA Approved for Orphan Indication,,,,,"Proteon Therapeutics, Inc.",200 West Street,,Waltham,Massachusetts,2451,United States,273908
